mode,utc,updates,word_exposures,input_tokens,panel_nll,panel_loss_tokens,panel_windows
dense,2026-09-18T00:32:31.907996+00:00,0,0,0,9.856210507260055,77707,48
dense,2026-09-18T01:06:41.520569+00:00,250,1857560,2998760,4.939164275180013,77707,48
dense,2026-09-18T01:43:33.968241+00:00,500,3629398,5889824,4.642151361367371,77707,48
dense,2026-09-18T02:20:26.352941+00:00,750,5423773,8819141,4.454477249516732,77707,48
dense,2026-09-18T02:57:20.275777+00:00,1000,7163927,11644247,4.047054729238061,77707,48
dense,2026-09-18T03:33:32.111892+00:00,1250,8925867,14554934,3.9433024166274873,77707,48
dense,2026-09-18T04:09:35.118094+00:00,1500,10618579,17323178,3.829610351125862,77707,48
dense,2026-09-18T04:45:27.335451+00:00,1750,12370039,20201082,3.793245108720028,77707,48
dense,2026-09-18T05:21:11.257760+00:00,2000,14138739,23089408,3.658994618694582,77707,48
dense,2026-09-18T05:57:58.500756+00:00,2250,15919656,25973859,3.6067516154792023,77707,48
dense,2026-09-18T06:34:50.470245+00:00,2500,17665131,28837375,3.5526976991645074,77707,48
dense,2026-09-18T07:10:50.107893+00:00,2750,19468578,31777249,3.54505606080049,77707,48
dense,2026-09-18T07:46:26.390759+00:00,3000,21255717,34694891,3.5175819115529077,77707,48
dense,2026-09-18T08:20:17.051518+00:00,3250,23003241,37544260,3.4906779464505826,77707,48
dense,2026-09-18T08:54:13.709301+00:00,3500,24791509,40452038,3.4669796271102453,77707,48
dense,2026-09-18T09:29:13.038831+00:00,3750,26563243,43348657,3.472849881493921,77707,48
dense,2026-09-18T10:02:17.042763+00:00,4000,28334728,46240949,3.4497957005499504,77707,48
dense,2026-09-18T10:35:05.667351+00:00,4250,30104966,49136271,3.4218016529711615,77707,48
dense,2026-09-18T11:08:12.642530+00:00,4500,31891225,52047374,3.4582576016482505,77707,48
dense,2026-09-18T11:42:49.797603+00:00,4750,33624254,54885364,3.4501820019414517,77707,48
dense,2026-09-18T12:15:10.755897+00:00,5000,35335386,57695157,3.445131722511166,77707,48
dense,2026-09-18T12:47:22.574372+00:00,5250,37115828,60568205,3.4483920332440685,77707,48
dense,2026-09-18T13:19:57.272740+00:00,5500,38936167,63540562,3.409285405538579,77707,48
dense,2026-09-18T13:52:54.614762+00:00,5750,40691759,66418145,3.482410061705649,77707,48
dense,2026-09-18T14:25:06.354537+00:00,6000,42450962,69290674,3.508164657768911,77707,48
dense,2026-09-18T14:57:31.512510+00:00,6250,44227018,72198315,3.5181907602088387,77707,48
dense,2026-09-18T15:29:39.047631+00:00,6500,45946300,75000699,3.501198576382363,77707,48
dense,2026-09-18T16:02:34.340902+00:00,6750,47763032,77962426,3.501967748990046,77707,48
dense,2026-09-18T16:38:49.908202+00:00,7000,49558776,80883264,3.50186213432898,77707,48
dense,2026-09-18T17:15:35.180998+00:00,7250,51362273,83820210,3.639219818010364,77707,48
dense,2026-09-18T17:52:45.351371+00:00,7500,53150579,86740040,3.6613184242525163,77707,48
dense,2026-09-18T18:29:43.352679+00:00,7750,54958616,89709551,3.6700270397701438,77707,48
dense,2026-09-18T19:06:52.457591+00:00,8000,56686635,92522980,3.66163561459418,77707,48
dense,2026-09-18T19:40:45.110133+00:00,8250,58440414,95372726,3.6693866819575525,77707,48
dense,2026-09-18T20:15:54.262400+00:00,8500,60183079,98240598,3.754599458337642,77707,48
dense,2026-09-18T20:52:52.977802+00:00,8750,61960164,101148883,3.880655575420196,77707,48
dense,2026-09-18T21:28:56.448242+00:00,9000,63725567,104047648,3.8989337734008522,77707,48
dense,2026-09-18T22:04:55.626472+00:00,9250,65490142,106910393,3.907294538247304,77707,48
dense,2026-09-18T22:39:52.109666+00:00,9500,67260612,109775279,3.9201391515745065,77707,48
dense,2026-09-18T23:15:27.829378+00:00,9750,69039396,112682540,3.9315671893684394,77707,48
dense,2026-09-18T23:50:21.293411+00:00,10000,70786210,115540350,4.115073867125038,77707,48
dense,2026-09-19T00:25:03.276426+00:00,10250,72523908,118397858,4.200106970336408,77707,48
dense,2026-09-19T00:59:48.724604+00:00,10500,74271807,121242967,4.228359072172845,77707,48
dense,2026-09-19T01:35:36.599933+00:00,10750,76059698,124161467,4.2467468303495,77707,48
dense,2026-09-19T02:11:17.713269+00:00,11000,77845838,127066070,4.250460210430002,77707,48
dense,2026-09-19T02:47:39.029698+00:00,11250,79673056,130049503,4.2623539402332495,77707,48
dense,2026-09-19T03:23:36.149001+00:00,11500,81484584,132985008,4.501237152147644,77707,48
dense,2026-09-19T03:59:55.911432+00:00,11750,83300651,135954516,4.56571015735197,77707,48
dense,2026-09-19T04:35:04.757531+00:00,12000,85074246,138848367,4.613992932609633,77707,48
dense,2026-09-19T05:09:44.767654+00:00,12250,86819332,141682232,4.6218739588563444,77707,48
dense,2026-09-19T05:44:07.690964+00:00,12500,88530326,144497573,4.636979856883447,77707,48
dense,2026-09-19T06:20:29.119012+00:00,12750,90279871,147367525,4.753684092177332,77707,48
dense,2026-09-19T06:55:51.660223+00:00,13000,92040831,150239059,4.874409487307388,77707,48
dense,2026-09-19T07:30:56.078934+00:00,13250,93818408,153131696,4.933285104282966,77707,48
dense,2026-09-19T08:05:35.984138+00:00,13500,95576821,155991603,4.963966947273982,77707,48
dense,2026-09-19T08:40:58.363610+00:00,13750,97379240,158943474,4.997684782643969,77707,48
dense,2026-09-19T09:15:53.276963+00:00,14000,99120803,161795735,5.017389230003937,77707,48
dense,2026-09-19T09:33:25.010548+00:00,14122,99998882,163224857,5.033447456358022,77707,48
sparse,2026-09-18T01:21:34.540409+00:00,0,0,0,9.856384932104305,77707,48
sparse,2026-09-18T01:56:25.664459+00:00,250,1857560,2998760,5.143800553411269,77707,48
sparse,2026-09-18T02:30:20.571318+00:00,500,3629398,5889824,4.7463222109592005,77707,48
sparse,2026-09-18T03:05:38.828783+00:00,750,5423773,8819141,4.550275520236,77707,48
sparse,2026-09-18T03:39:06.389882+00:00,1000,7163927,11644247,4.104872962751566,77707,48
sparse,2026-09-18T04:13:31.717092+00:00,1250,8925867,14554934,3.964740915471016,77707,48
sparse,2026-09-18T04:46:56.330475+00:00,1500,10618579,17323178,3.867452660020769,77707,48
sparse,2026-09-18T05:21:31.695030+00:00,1750,12370039,20201082,3.812162343951342,77707,48
sparse,2026-09-18T05:56:35.992329+00:00,2000,14138739,23089408,3.667292991241015,77707,48
sparse,2026-09-18T06:31:04.674549+00:00,2250,15919656,25973859,3.591435844382433,77707,48
sparse,2026-09-18T07:05:04.737914+00:00,2500,17665131,28837375,3.5590213353570648,77707,48
sparse,2026-09-18T07:39:15.217647+00:00,2750,19468578,31777249,3.5426031226905144,77707,48
sparse,2026-09-18T08:13:17.143672+00:00,3000,21255717,34694891,3.507008495029148,77707,48
sparse,2026-09-18T08:47:29.835959+00:00,3250,23003241,37544260,3.487677970019631,77707,48
sparse,2026-09-18T09:24:25.945020+00:00,3500,24791509,40452038,3.4550879369123284,77707,48
sparse,2026-09-18T09:58:22.108622+00:00,3750,26563243,43348657,3.4513999709815217,77707,48
sparse,2026-09-18T10:32:00.066392+00:00,4000,28334728,46240949,3.428978597959664,77707,48
sparse,2026-09-18T11:06:03.808264+00:00,4250,30104966,49136271,3.4008625735878457,77707,48
sparse,2026-09-18T11:40:22.632182+00:00,4500,31891225,52047374,3.445139848544849,77707,48
sparse,2026-09-18T12:14:13.292535+00:00,4750,33624254,54885364,3.4356315631834056,77707,48
sparse,2026-09-18T12:47:58.594461+00:00,5000,35335386,57695157,3.440712120329662,77707,48
sparse,2026-09-18T13:21:03.570875+00:00,5250,37115828,60568205,3.4120860881501796,77707,48
sparse,2026-09-18T13:54:51.981919+00:00,5500,38936167,63540562,3.396144510311113,77707,48
sparse,2026-09-18T14:28:24.411924+00:00,5750,40691759,66418145,3.4811145458177006,77707,48
sparse,2026-09-18T15:01:31.109930+00:00,6000,42450962,69290674,3.4906286996505673,77707,48
sparse,2026-09-18T15:35:13.880986+00:00,6250,44227018,72198315,3.4968110190054325,77707,48
sparse,2026-09-18T16:10:00.593765+00:00,6500,45946300,75000699,3.476361493318949,77707,48
sparse,2026-09-18T16:43:44.116945+00:00,6750,47763032,77962426,3.491128131944951,77707,48
sparse,2026-09-18T17:17:13.714003+00:00,7000,49558776,80883264,3.477095803130246,77707,48
sparse,2026-09-18T17:50:52.997871+00:00,7250,51362273,83820210,3.612175721723146,77707,48
sparse,2026-09-18T18:24:18.992797+00:00,7500,53150579,86740040,3.6359756474377916,77707,48
sparse,2026-09-18T18:57:58.112659+00:00,7750,54958616,89709551,3.6339770321716713,77707,48
